,name,link_to_all_reviews,Date First Available,Is Discontinued By Manufacturer,ASIN,Neck Material Type,Color Screen,Language:,Screen Size,Display Technology,Voice Command,Speaker Count,Fill Material,Product Dimensions,Wireless Communication Technology,Computer Memory Size,Connectivity Technology,Mfr Part Number,Release date,Manufacturer recommended age,Compatible Phone Models,Specific Uses for Product,Hardware Interface,Fretboard Material,Connector Type,Number of Strings,Batteries,Guitar Pickup Configuration,Color Name,Material Composition,Color,Wattage,Proficiency Level,Size,Scale Length,Musical Style,Is Dishwasher Safe,Domestic Shipping,Rated,Hardware Platform,Guitar Pick Thickness,Brand name,Voltage,Fabric Type,Pricing,Batteries Required,Package Weight,Our Recommended age,Output Wattage,Item Weight,Phone Standy Time (with data),Special Features,National Stock Number,Back Material,Item model number,Operating System,Compatible Devices,Mfg Recommended age,Headphones Jack,Manufacturer,Department,Item Package Dimensions L x W x H,Package Dimensions,Speaker Amplification Type,Phone Talk Time,Number of Keyboard Keys,Body Material,Guitar Bridge System,Form Factor,Material Type,Frequency,Supported Software,Top Material,Other display features,Included Components,Best Sellers Rank,Warranty,International Shipping,Power Source
0,"Betron DC950HI Earbuds, Noise Isolating in Ear Headphones with Mic and Remote Control, Powerful Bass, Replaceable Ear Buds, Compatible with iPhone, iPad, Samsung and Tablets, Black",https://www.amazon.com/Betron-Headphones-Earphones-Isolating-Microphone/product-reviews/B00N771OEE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"August 26, 2016",No,B00N771OEE, , , , , , , , ,2 x 2 x 7 inches, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.46 ounces, , , , ,DC950HIB, , , , ,Betron, , , , , , , , , , , , , , , ,#144 in Earbud & In-Ear Headphones, , , 
1,"Bluetooth Headphones,Tuinyo Wireless Headphones Over Ear with Microphone, Foldable & Lightweight Stereo Wireless Headset for Travel Work TV PC Cellphone- Rose Gold",https://www.amazon.com/Bluetooth-Headphones-Microphone-Lightweight-Cellphone/product-reviews/B07ZBJPYRK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"October 19, 2019",,B07ZBJPYRK,,,,,,,,,7.2 x 5 x 3 inches,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,9.6 ounces,,,,,,,,,,TUINYO,,,,,,,,,,,,,,,,#219 in Over-Ear Headphones,,,
2,(2 Pack) Aux Headphones/Earbuds 3.5mm Wired Headphones Noise Isolating with Built-in Microphone & Volume Control Compatible with iPhone 6 SE 5S 4 iPod iPad Samsung/Android MP3,https://www.amazon.com/Headphones-Earbuds-Isolating-Microphone-Compatible/product-reviews/B084MCQHWC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"February 10, 2020",,B084MCQHWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11 ounces,,,,,,,,,,ATETION,,,4.92 x 2.56 x 0.98 inches,,,,,,,,,,,,,#31 in Earbud & In-Ear Headphones,,,
3,Sony MDRZX110/BLK  ZX Series Stereo Headphones (Black),https://www.amazon.com/Sony-MDRZX110-BLK-Stereo-Headphones/product-reviews/B00NJ2M33I/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"July 28, 2017",No,B00NJ2M33I,,,,,,,,,5.87 x 1.81 x 7.87 inches,,,,,,,,,,,,,1 Lithium ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,4.2 ounces,,,,,MDRZX110/BLK,,,,,Sony,,,,,,,,,,,,,,,,#1 in On-Ear Headphones #2 in Over-Ear Headphones,,,
4,"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",https://www.amazon.com/PeohZarr-Headphones-Microphone-Lightweight-Smartphone/product-reviews/B07SHH37M6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"April 7, 2019",No,B07SHH37M6,,,,,,,,,5.5 x 3.1 x 2.7 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8 ounces,,,,,WGYP-063,,,,,PeohZarr,,,,,,,,,,,,,,,,#8 in On-Ear Headphones,,,
5,Apple EarPods with Lightning Connector - White,https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/product-reviews/B01M0GB8CC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Vogek On Ear Headphones with Mic, Lightweight Portable Fold-Flat Stereo Bass Headphones with 1.5M Tangle Free Cord and Microphone-Black",https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/product-reviews/B07MCCJ6VY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"January 10, 2019",No,B07MCCJ6VY,,,,,,,,,2.76 x 1.97 x 0.67 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4 ounces,,,,,WGYP,,,,,VOGEK,Unisex-adult,,,,,,,,,,,,,,,#11 in On-Ear Headphones,,,
7,"Panasonic ErgoFit In-Ear Earbud Headphones RP-HJE120K Dynamic Crystal-Clear Sound, Ergonomic Comfort-Fit, 9mm, Black",https://www.amazon.com/Panasonic-Headphones-RP-HJE120-K-Ergonomic-Comfort-Fit/product-reviews/B003EM8008/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"March 19, 2011",No,B003EM8008,,,,,,,,,3.6 x 3.25 x 6.75 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 ounces,,,,,RP-HJE120-K,,,,,Panasonic,,,,,,,,,,,,,,,,#34 in Earbud & In-Ear Headphones,,,
8,"3 Packs Earbud Headphones with Remote & Microphone, SourceTon In Ear Earphone Stereo Sound Noise Isolating Tangle Free for iOS and Android Smartphones, Laptops, Gaming, Fits All 3.5mm Interface Device",https://www.amazon.com/Headphones-Microphone-SourceTon-Isolating-Smartphones/product-reviews/B077ZYLMZV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"December 8, 2017",No,B077ZYLMZV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64 ounces,,,,,ST-EN30 Earphone_3colors,,,,,SourceTon,,,5.87 x 3.8 x 0.4 inches,,,,,,,,,,,,,#45 in Earbud & In-Ear Headphones,,,
9,"Koss KPH7 Lightweight Portable Headphone, Black",https://www.amazon.com/Koss-KPH7-Lightweight-Portable-Headphone/product-reviews/B006T9ZKAQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"January 4, 2012",No,B006T9ZKAQ,,,English,,,,,,8.44 x 2.13 x 6.38 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58 ounces,,,,,KPH7,,,,,Koss,Electronics,,,,,,,,,,,,,,,#51 in On-Ear Headphones,,,
